sample,Site,Visit,Category,treatment.status,WaterPotential_MPa,PercentMoisture,Total.N,Total.C,CN.ratio,OM.LOI,pH,EC,NH4,NO3,P,meanDepth,meanSPC,waterpH,meanORP,Phrag Present,NoSpecies_1,DomSpecies_1,Listspecies_1,NoSpecies_2,DomSpecies_2,Listspecies_2,NoSpecies_3,DomSpecies_3,Listspecies_3,NoSpecies_4,DomSpecies_4,Listspecies_4,NoSpecies_5,DomSpecies_5,Listspecies_5,MeanSpecies,mean.canopy,mean.stem.density,lat,long,Location,Area,plotID,year.last.treatment,treatment.2021,herbicide.2021,num_treatments,num_phrag_total,percent.phrag,num_phrag_per,phrag.present,isimpaired,algal.growth,cause.unk.impaired.biota,metals.other.hg,nutrients,oxygen.depletion,pathogens,polychlorinated.biphenyls,solids.chlorides.sulfates,temperatur,unimpaired,mean.orp,mean.orp.10,mean.orp.20,mean.do.mg,mean.do.percent,mean.depth,mean.mulch,mean.temp,np.ratio,sp.richness,treatment.2021,soil.salinity,nanodrop.dna,Al1670,As1890,B_2497,Ba4554,Ca3179,Cd2265,Co2286,Cr2835,Cu3247,Fe2382,K_7664,Mg2852,Mn2576,Mo2020,Na5895,Ni2316,P_1782,Pb2203,S_1820,Se1960,Si2516,Sr4077,Ti3088,V_3093,Zn2138
11A,11,A,Treated,Treated,-0.15,383.8,2.338,34.109,14.5867,50.6,7.28,4.259,8.528,3.7623,45.9,-23,NA,NA,NA,No,1,,,4,,,3,,,1,,,1,,,2,19.4,68.4,40.27276,-111.74384,Powell Slough,Utah Lake,UL2,2021,Trample,N,1,2,13.3,0,N,Y, , , , ,Cause, , , , ,,,,,NA,NA,-23,6.2,NA,112.6377552,0,Trample,Saline,536.4,7.984,0.0601,0.1687,0.6679,244.2,0.0027,0.005,0.1083,0.0718,17.24,2.851,17.25,0.2208,0.0081,1.649,0.0169,5.079,0.0814,34.74,0.0362,3.792,1.051,0.4456,0.1122,0.1846
12A,12,A,Native,Untreated,-0.04,502.9,1.753,27.559,15.7182,40.4,7.271,5.205,7.7992,0.2377,89.15,-11.9,582.3666667,6.633333333,-46.03333333,No,2,cattail,"cattail, bullrush",,,,1,,,,,,1,,,0.8,9.5,6.5,40.27088,-111.7411,Powell Slough,Utah Lake,,,Trample,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,-27.62,-106.8,-108.6,4.223333333,51.86666667,-11.9,130,13.26666667,43.48232262,1,Trample,Saline,35.5,7.599,0.0575,0.2355,0.5641,362.8,0.0038,0.0087,0.0811,0.1124,21.8,4.257,21.32,0.6558,0.0247,3.932,0.0329,5.556,0.0663,29.88,0.03,3.9,1.462,0.384,0.1431,0.4621
13A,13,A,Native,Untreated,-0.04,528.4,1.934,30.687,15.8673,41,7.415,4.511,6.7333,0.2427,69.68,-12.6,1426.5,6.725,-89,No,1,,,4,,,3,,,4,,,4,,,3.2,39.5,806.2,40.27092,-111.74019,Powell Slough,Utah Lake,,,Trample,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,-35.6,-2.2,,0.11,1.35,-12.6,59,17.05,61.37627021,0,Trample,Saline,539.5,5.854,0.064,0.1839,0.7352,438.1,0.0032,0.0099,0.0604,0.0865,20.98,3.56,22.51,1.228,0.0202,3.58,0.0241,4.959,0.0751,27.23,0.0291,3.84,1.763,0.3028,0.1141,0.2924
14A,14,A,Treated,Treated,-0.03,348.1,1.942,28.118,14.4799,40.2,7.69,4.096,7.2291,6.354,47.44,-30,NA,NA,NA,Yes,4,goldenrod,"American bullrush, goldenrod, phragmites, cattail",3,milkweed,"milkweed, phragmites, goldenrod",3,milkweed,"thistle, milkweed, goldenrod, phragmites?",1,phragmites,phragmites,1,phragmites,phragmites,2.4,41.6,19.8,40.27085,-111.73919,Powell Slough,Utah Lake,UL3,2021,Trample,N,1,12,80,2,Y,Y, , , , ,Cause, , , , ,,,24.2,16.4,NA,NA,-30,12.4,NA,90.52253565,7,Trample,Saline,825.3,7.405,0.0639,0.1942,0.7844,431.7,0.0055,0.007,0.061,0.0999,23.22,3.512,25.31,0.6222,0.0113,3.412,0.0172,5.032,0.2327,21.26,0.0194,3.813,1.728,0.3681,0.0912,0.3004
15A,15,A,Treated,Treated,-0.08,395,2.398,34.043,14.1975,43.6,7.522,4.473,8.0619,1.4776,34.85,-10.8,871.5,6.875,-770,Yes,4,?,"phragmites, cattail, ?",3,phragmites,"phragmites, ?",1,phragmites,phragmites,2,phragmites,"phragmites, ?",2,phragmites,"phragmites, ?",2.4,23.2,78.2,40.27107,-111.73754,Powell Slough,Utah Lake,UL4,2021,Trample + Mow,N,3,13,86.7,4,Y,Y, , , , ,Cause, , , , ,,-308,-187.8,-309.8,0.235,2.55,-10.8,5.2,13.85,152.159321,3,Trample + Mow,Saline,394.4,8.197,0.0397,0.1723,0.5664,278,0.0054,0.0046,0.0486,0.0977,14.58,4.044,18.93,0.2258,0.01,1.451,0.011,5.042,0.2791,37.23,0.0216,3.881,1.072,0.4485,0.0682,0.1404
16A,16,A,Untreated,Untreated,-0.12,157.5,1.597,23.112,14.473,28,8.051,1.012,11.0711,1.7292,49.29,-17.8,1578,7.055,-417.45,Yes,3,,"phragmites, ?",1,phragmites,phragmites,1,phragmites,phragmites,3,?,"phragmites, ?",4,?,?,2.4,37,25.8,40.27215,-111.73804,Powell Slough,Utah Lake,,NA,Untreated,N,NA,11,73.3,2,Y,Y, , , , ,Cause, , , , ,,,120.6,130.6,16.06,2.45,-17.8,6,11.6,71.64704174,2,NA,Fresh,688.7,15.78,0.0527,0.1597,0.8465,301.2,0.004,0.0095,0.0646,0.0699,22.94,4.107,24.06,0.4358,0.0093,1.167,0.0192,6.633,0.1175,19.54,0.0105,4.161,1.242,0.7881,0.0906,0.2327
17A,17,A,Treated,Treated,0.27,166,0.691,9.678,14.0095,17,6.444,1.108,13.5424,0.224,49.15,-19,129.16,6.878,60.86,Yes,2,phragmites,"phragmites, ?",1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1.2,25.8,8.4,40.94368,-111.90174,FBWMA,Great Salt Lake,GSL1,,,N,,9,60,5,Y, , , , , , , , , , ,,60.86,-10.6,-27.6,6.946,73.72,-19,43,11.38,31.08899554,2,NA,Fresh,359.4,47.83,0.0246,0.1331,0.5265,32.83,0.011,0.0582,0.3294,0.2894,104.7,19.64,42.26,1.461,0.0032,1.858,0.1282,3.636,0.1603,4.927,0.0074,4.376,0.1229,3.816,0.2507,0.6879
18A,18,A,Native,Untreated,-0.1,214.3,1.732,22.333,12.8948,25.8,6.779,3.934,7.6505,0.1619,70.87,-10.4,22.825,7.08,-63.65,Yes,2,?,"phragmites, ?",1,?,?,,None,None,3,phragmites,"phragmites, ?",3,?,"phragmites, ?",NA,38.5,8.4,40.93313,-111.9062,FBWMA,Great Salt Lake,,,Spray,Y,,1,6.7,1,Y, , , , , , , , , , ,,-25.46,-78.4,-161.2,1.2,20.85,-10.4,36.6,19.7,54.0427724,2,Spray,Brackish,15.4,18.95,0.0172,0.1408,0.1869,30.46,0.0045,0.0282,0.146,0.1109,41.82,6.535,20,0.7574,0.0089,4.419,0.0555,2.583,0.0758,9.84,0.0117,3.729,0.12,1.478,0.0995,0.2496
19A,19,A,Treated,Treated,-0.36,104.3,0.304,4.01,13.1794,7.3,7.561,4.067,7.3208,0.1906,33.83,-15,3189.4,7.248,-305.9,Yes,2,?,"phragmites, ?",3,?,"luckweed, cattails, ?",1,?,?,2,cattail,"cattail, duckweed",1,?,?,1.8,34.8,55,40.93401,-111.90578,FBWMA,Great Salt Lake,GSL2,,Spray,Y,,0,0,0,N, , , , , , , , , , ,,-305.9,-348.8,-402.4,0.084,1.2,-15,0,26.2,19.87118429,4,Spray,Saline,267,30.92,0.0257,0.2189,0.4236,83.21,0.0061,0.0252,0.1477,0.1683,52.88,16.63,63.13,0.9425,-0.0004,8.545,0.0536,3.163,0.3988,6.817,0.012,4.77,0.2714,1.96,0.1889,0.3623
20A,20,A,Native,Untreated,-0.54,211.9,0.523,8.491,16.2515,11.9,7.581,9.898,6.0595,0.2729,51.07,16.5,3567.8,7.242,-218.2,No,2,american bullrush,"american bullrush, hardstem bullrush",1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,2,hardstem bullrush,"harstem bullrush, american bullrush",1.4,142,29.8,40.91323,-111.9235,FBWMA,Great Salt Lake,,,Spray,Y,,0,0,0,N, , , , , , , , , , ,,-218.2,-260.6,-270.2,0.302,4.26,16.5,0,23.62,22.64581715,2,Spray,Saline,131.9,36.27,0.0385,0.2951,0.433,209.1,0.0082,0.0312,0.349,0.2149,69.89,18.68,76.45,1.16,0.0103,22.24,0.0676,3.495,0.2857,21.58,0.0005,4.188,0.601,2.365,0.2534,0.5406
21A,21,A,Native,Untreated,0.04,358.5,1.061,16.348,15.4058,23,8.083,10.645,7.8366,0.2117,60.64,22.4,2531.55,7.254,-144.3,No,2,?,"cattail, ?",1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1.2,76,13.2,40.91499,-111.92265,FBWMA,Great Salt Lake,,,Native,N,,0,0,0,N, , , , , , , , , , ,,-144.3,-239.8,-292.4,0.76,9.5,22.4,14,20.42,38.69085764,2,NA,Saline,503,34.35,0.0555,0.2919,0.5499,265.5,0.0176,0.0308,0.2247,0.3573,71.61,16.35,60.79,1.159,0.0094,23.76,0.0703,7.84,0.4973,22.11,0.0095,5.123,0.9234,1.79,0.2376,0.7326
22A,22,A,Treated,Treated,-0.79,123.3,0.343,4.991,14.5308,6,8.083,10.09,5.5694,0.227,80.31,15.2,6949.4,7.994,-116.6,Yes,1,american bullrush,american bullrush,2,phragmites,"phragmites, american bullrush",1,american bullrush,american bullrush,1,american bullrush,american bullrush,1,american bullrush,american bullrush,1.2,47.6,9.6,40.91232,-111.92378,FBWMA,Great Salt Lake,GSL3,,Spray,Y,,5,33.3,1,Y, , , , , , , , , , ,,-116.6,-243.4,-280.2,0.492,7.58,15.2,0,28.5,9.444449734,2,Spray,Saline,231.5,47.3,0.0435,0.2678,0.4739,151.7,0.0108,0.0503,0.3375,0.2477,104.1,25.62,69.18,1.711,0.0024,27.34,0.1097,3.538,0.2333,6.973,0.0053,4.522,0.457,3.412,0.289,0.5211
23A,23,A,Treated,Treated,-0.67,188.6,0.81,13.081,16.1424,13.6,7.42,16.82,9.989,0.2038,126.05,-9.925,4330,7.11,-303.2666667,No,3,cattail,"cattail, ranunculus detatus, ?",3,hordeum jubatum,"cattail, hordeum jubatum, atroplex rubrum",4,rununculus,"hordeum jubatum, atroplex rubrum, rununculus scleratis, spurgalaria",2,hordeum jubatum,"hordeum jubatum, puccinellia",56,rununculus scleratis,?,13.6,25.8,76.8,40.91316,-111.94129,FBWMA,Great Salt Lake,GSL4,,Spray,Y,,0,0,0,N, , , , , , , , , , ,,-181.96,-131.8,-229.8,0.26,3.2,-9.925,4.8,15.36666667,14.21000839,8,Spray,Saline,190.5,33.15,0.0598,0.2158,0.6693,248.8,0.014,0.0292,0.2156,0.5746,65.07,14.6,69.29,1.203,0.0102,35.48,0.0654,5.666,0.727,19.64,0.0296,4.979,0.8078,1.554,0.2641,1.28
24A,24,A,Untreated,Untreated,-0.1,62.2,0.258,5.42,21.0287,3.9,7.992,2.585,4.5468,0.1771,60.64,-25.2,11654,7.16,-130.5,Yes,3,phragmites,"phragmites, polyganum spp, atriplex nebrum",1,phragmites,phragmites,6,phragmites,"phragmites, hordeum jubatum, ?",,?,?,5,phragmites,"phragmites, choenopod, kochias spp, hordeum jubatum, ranunculus scleratus",NA,171.5,78.4,40.91921,-111.94921,FBWMA,Great Salt Lake,,,Untreated,N,,14,93.3,4,Y, , , , , , , , , , ,,,62.6,50.4,0.27,3.3,-25.2,11.1,15.9,9.408332961,8,NA,Brackish,718,24.76,0.0524,0.2999,0.5756,272.2,0.0064,0.0173,0.1113,0.1911,43.26,10.24,144.3,1.329,0.0013,5.932,0.0351,3.682,0.3,3.926,0.0131,4.014,0.9839,1.349,0.3319,0.4547
25A,25,A,Treated,Treated,-2.35,80.3,0.578,8.727,15.0936,9,7.797,15.32,2.1667,2.6202,90.87,-30,NA,NA,NA,Yes,2,phragmites,"phragmites, ?",2,phragmites,"phragmites, ?",5,?,?,3,?,?,3,?,?,3,15.2,393.4,40.91486,-111.99089,FBWMA,Great Salt Lake,GSL5,2020,,N,1,2,13.3,2,Y,N, , , , , , , , ,,Cause,,201.8,182.4,NA,NA,-30,0,NA,14.06563929,2,NA,Saline,352.7,26.44,0.0793,0.3377,0.6859,407.1,0.0148,0.0207,0.2301,0.7651,47.23,14.76,106,1.509,0.0057,38.04,0.0532,5.235,0.8168,13.76,0.0169,4.181,2.379,1.321,0.285,1.201
26A,26,A,Untreated,Untreated,0.11,172.9,0.868,12.831,14.7792,14.2,7.515,2.819,8.9801,0.3209,129.78,11.9,2206.56,7.25,-236.8,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,169.6,49,40.89986,-112.01522,FBWMA,Great Salt Lake,,,Spray,Y,,15,100,5,Y,N, , , , , , , , ,,Cause,-236.8,-238.4,-257.6,0.25,3.24,11.9,0,20.08,14.78986197,1,Spray,Brackish,217.9,22.99,0.0991,0.286,0.8119,409,0.0125,0.0182,0.1865,0.6168,41.71,11.25,84.46,1.245,0.0121,8.415,0.0546,6.053,0.4081,15.8,0.0243,4.442,3.009,1.205,0.2321,0.8691
27A,27,A,Untreated,Untreated,-0.34,89.2,0.215,7.084,32.9617,4.6,8.024,1.679,8.4788,0.1661,41.64,9.8,2243,7.22,-131.5333333,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,263.4,21.6,41.42317,-112.08604,BRMBR,Great Salt Lake,,2018,Untreated,N,1,12,80,5,Y,N, , , , , , , , ,,Cause,-78.92,-103.4,-118.8,0.22,2.8,9.8,29.6,18.8,11.41773356,1,NA,Brackish,34.5,19.52,0.0179,0.0849,0.6098,516.3,0.0035,0.0128,0.0749,0.047,32.55,9.157,47.05,1.336,0.001,4.258,0.0282,2.851,0.0428,3.881,-0.0004,5.105,1.544,0.797,0.1238,0.1321
28A,28,A,Native,Untreated,-0.43,87.4,0.217,6.701,30.9209,4,8,2.667,6.1388,0.1663,45.77,42.78,2515,7.146666667,-176.8,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,180.2,12.4,41.42287,-112.08645,BRMBR,Great Salt Lake,,2018,Grazing,N,1,0,0,0,N,N, , , , , , , , ,,Cause,-106.08,-176.6,-173,0.243333333,3.066666667,42.78,0,18.46666667,10.48409595,1,Grazing,Brackish,236.1,18.91,0.027,0.0866,0.5922,506.4,0.0044,0.0123,0.0763,0.0538,34.04,8.982,49.59,1.326,0.001,7.217,0.03,3.04,0.05,6.124,0.0096,4.718,1.436,0.7009,0.1291,0.1551
29A,29,A,Untreated,Untreated,0.01,84.1,0.296,7.216,24.3922,5.3,7.883,2.988,5.8527,0.2017,60.31,31,4591.666667,7.156666667,-129.5333333,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,188.4,19,41.42255,-112.1074,BRMBR,Great Salt Lake,,,Untreated,N,,15,100,5,Y, , , , , , , , , , ,,-77.72,-234.8,-201.2,0.633333333,8.033333333,31,0,18.1,10.85311858,1,NA,Brackish,276.9,25.07,0.0205,0.1004,0.6337,482.1,0.0051,0.0151,0.0946,0.0559,42.09,11.68,48.03,1.483,0.0007,6.182,0.0387,3.424,0.056,4.729,0.0147,6.409,1.319,1.023,0.1398,0.174
30A,30,A,Native,Untreated,0.31,88.7,0.297,7.49,25.2245,5.3,7.934,1.188,5.5694,0.205,45.39,30,2660.666667,7.473333333,-232.5666667,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,132.2,19.2,41.42313,-112.11765,BRMBR,Great Salt Lake,,,Grazing,N,,0,0,0,N, , , , , , , , , , ,,-139.54,-173.8,-162.6,0.063333333,0.833333333,30,0,20.1,14.46933034,1,Grazing,Fresh,244.2,25.97,0.0163,0.0952,0.614,483.1,0.0041,0.0159,0.0966,0.056,42.64,11.92,47.22,1.293,0.0011,4.061,0.0366,3.217,0.0529,4.137,0.003,5.227,1.338,0.7142,0.1432,0.1765
31A,31,A,Treated,Treated,-0.54,56.2,0.172,5.033,29.3017,2.8,8.165,3.756,2.7685,0.1887,42.83,-7.1,8023,7.435,-84.3,Yes,3,phragmites,"phragmites, ?",2,phragmites,"phragmites, cattail",1,phragmites,phragmites,1,phragmites,phragmites,2,?,?,1.8,48.6,14.6,41.42277,-112.12871,BRMBR,Great Salt Lake,GSL6,,Spray,Y,,9,60,4,Y, , , , , , , , , , ,,,39.4,-5.4,0.31,4.1,-7.1,0.5,19.8,8.880400199,3,Spray,Brackish,331.7,21.73,0.0138,0.0783,0.5612,378.6,0.0036,0.0135,0.0856,0.0372,36.24,10.16,50.49,1.268,-0.0014,9.328,0.0323,3.454,0.0258,2.8,-0.0019,3.851,0.8066,0.8712,0.1295,0.1492
32A,32,A,Native,Untreated,-0.65,110,0.264,6.398,24.2414,4.2,8.139,5.942,3.7101,0.1716,31.27,30.4,9648.333333,7.976666667,-347.7333333,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,104,12.8,41.42293,-112.13471,BRMBR,Great Salt Lake,,,Spray,Y,,0,0,0,N, , , , , , , , , , ,,-208.64,-311.8,-320.8,0.04,0.633333333,30.4,0,22.93333333,18.66930759,1,Spray,Saline,94.6,25.26,0.0129,0.1318,0.4904,409.8,0.0057,0.0178,0.1012,0.0597,45.36,14.73,51.41,1.174,0.0012,14.06,0.0378,3.038,0.0512,8.609,0.0027,6.204,1.024,1.093,0.1509,0.1719
33A,33,A,Treated,Treated,-0.28,47.6,0.224,6.341,28.3509,4.6,8.638,7.722,3.8282,0.9465,35.47,-30,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,0,,,1,phragmites,phragmites,1,phragmites,phragmites,0.8,22,2.6,41.42141,-112.14694,BRMBR,Great Salt Lake,GSL7,,Spray,Y,,14,93.3,4,Y, , , , , , , , , , ,,,194.8,211,NA,NA,-30,4.4,NA,13.96493746,1,Spray,Saline,-0.3,28.29,0.026,0.1643,0.632,416.5,0.0051,0.0181,0.1167,0.056,49.11,16.03,73.43,1.381,-0.0013,5.955,0.0421,3.184,0.0507,2.604,0.0102,4.253,1.255,1.108,0.1901,0.186
